PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
12,12,113,1950,Dawa Khan Sabir (PTI),45,272,703,36.05128205,703,36.05128205,0
13,13,113,1174,Dawa Khan Sabir (PTI),12,98,251,21.37989779,251,21.37989779,0
14,1,112,1261,Dawa Khan Sabir (PTI),27,157,330,26.16970658,332,26.32831086,2
16,3,112,2228,Dawa Khan Sabir (PTI),36,246,681,30.56552962,684,30.70017953,3
17,4,112,1689,Dawa Khan Sabir (PTI),27,95,337,19.9526347,337,19.9526347,0
21,17,113,2324,Dawa Khan Sabir (PTI),47,275,800,34.42340792,1785,76.80722892,985
22,18,113,2021,Dawa Khan Sabir (PTI),67,208,808,39.98020782,812,40.17812964,4
23,19,113,1301,Dawa Khan Sabir (PTI),11,120,394,30.28439662,306,23.52036895,88
25,21,113,1725,Dawa Khan Sabir (PTI),15,94,336,19.47826087,336,19.47826087,0
26,22,113,1056,Dawa Khan Sabir (PTI),18,152,376,35.60606061,376,35.60606061,0
30,26,113,1795,Dawa Khan Sabir (PTI),103,144,811,45.1810585,811,45.1810585,0
31,27,113,1372,Dawa Khan Sabir (PTI),64,67,437,31.85131195,437,31.85131195,0
35,31,113,1701,Dawa Khan Sabir (PTI),56,121,298,17.51910641,298,17.51910641,0
36,32,113,2263,Dawa Khan Sabir (PTI),150,335,839,37.07467963,819,36.19089704,20
37,33,113,1822,Dawa Khan Sabir (PTI),41,194,425,23.32601537,425,23.32601537,0
38,34,113,1481,Dawa Khan Sabir (PTI),72,164,476,32.14044564,470,31.73531398,6
40,36,113,1342,Dawa Khan Sabir (PTI),18,270,503,37.48137109,503,37.48137109,0
41,37,113,2127,Dawa Khan Sabir (PTI),5,260,443,20.82745651,443,20.82745651,0
43,39,113,1237,Dawa Khan Sabir (PTI),46,111,377,30.47696039,367,29.66855295,10
44,40,113,1222,Dawa Khan Sabir (PTI),44,311,509,41.65302782,509,41.65302782,0
45,41,113,1392,Dawa Khan Sabir (PTI),42,270,627,45.04310345,626,44.97126437,1
46,42,113,1853,Dawa Khan Sabir (PTI),25,246,475,25.63410685,475,25.63410685,0
50,46,113,1470,Dawa Khan Sabir (PTI),132,202,622,42.31292517,622,42.31292517,0
51,47,113,1234,Dawa Khan Sabir (PTI),31,120,278,22.52836305,279,22.60940032,1
57,53,113,1441,Dawa Khan Sabir (PTI),72,121,589,40.87439278,589,40.87439278,0
58,54,113,1148,Dawa Khan Sabir (PTI),29,78,254,22.12543554,254,22.12543554,0
62,58,113,1046,Dawa Khan Sabir (PTI),69,75,424,40.53537285,422,40.34416826,2
63,59,113,1867,Dawa Khan Sabir (PTI),32,327,805,43.11730048,804,43.06373862,1
69,65,113,1234,Dawa Khan Sabir (PTI),61,62,460,37.27714749,460,37.27714749,0
71,67,113,1303,Dawa Khan Sabir (PTI),48,65,298,22.87029931,298,22.87029931,0
72,68,113,2318,Dawa Khan Sabir (PTI),87,289,661,28.51596204,661,28.51596204,0
73,69,113,1423,Dawa Khan Sabir (PTI),66,225,489,34.36401968,489,34.36401968,0
75,71,113,1053,Dawa Khan Sabir (PTI),19,307,461,43.77967711,461,43.77967711,0
76,72,113,1569,Dawa Khan Sabir (PTI),23,178,321,20.45889101,321,20.45889101,0
77,73,113,1825,Dawa Khan Sabir (PTI),4,320,600,32.87671233,605,33.15068493,5
